time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-04T07:45:09.570Z,-0.1123,124.9434,75.12,4.5,mb,,63,2.359,1.06,us,us1000bku4,2017-12-04T07:59:18.040Z,"109km SE of Lolayan, Indonesia",earthquake,8.4,10.4,0.127,18,reviewed,us,us
2017-12-04T07:42:02.920Z,38.8911,142.4671,46.84,4.6,mb,,128,1.667,0.69,us,us1000bku5,2017-12-04T07:56:19.040Z,"65km SE of Kamaishi, Japan",earthquake,7.6,8.6,0.09,37,reviewed,us,us
2017-12-04T05:06:02.300Z,35.0822,-96.2043,13.92,2.9,mb_lg,,56,0.554,0.94,us,us1000bkss,2017-12-04T09:28:11.040Z,"17km E of Holdenville, Oklahoma",earthquake,1.8,8.1,0.053,92,reviewed,us,us
2017-12-04T03:51:44.660Z,50.648,-129.8827,10,4.2,mb,,156,1.114,1.05,us,us1000bks1,2017-12-05T06:08:13.186Z,"174km W of Port Hardy, Canada",earthquake,5.7,1.8,0.067,63,reviewed,us,us
2017-12-04T03:22:50.110Z,-5.2598,128.1036,330.7,4.4,mb,,61,4.17,0.79,us,us1000bkrp,2017-12-04T03:38:55.040Z,"169km S of Amahusu, Indonesia",earthquake,8.1,6.5,0.093,33,reviewed,us,us
2017-12-04T03:12:57.270Z,-1.1918,127.6893,29.87,4.7,mb,,106,1.977,0.93,us,us1000bkrj,2017-12-04T03:29:30.040Z,"17km N of Laiwui, Indonesia",earthquake,7.4,6.3,0.098,32,reviewed,us,us
2017-12-04T03:08:18.460Z,19.6391,-67.7355,40,3.27,md,5,344,1.3275,0.1,pr,pr2017338000,2017-12-04T21:43:03.040Z,"104km NNE of Punta Cana, Dominican Republic",earthquake,2.55,11.02,0.19,5,reviewed,pr,pr
2017-12-04T01:35:01.730Z,-13.9201,170.3844,10,5.5,mww,,107,7.45,0.7,us,us1000bkqv,2017-12-05T16:12:55.040Z,"Vanuatu region",earthquake,11.2,1.9,0.071,19,reviewed,us,us
2017-12-04T00:19:25.780Z,-4.2976,128.7308,184.11,4.8,mb,,56,3.768,0.73,us,us1000bkpt,2017-12-04T00:35:19.040Z,"81km S of Saparua, Indonesia",earthquake,8.2,6.1,0.105,28,reviewed,us,us
2017-12-04T00:08:04.510Z,-32.83,-178.7392,10,5.7,mww,,76,3.64,1.32,us,us1000bkpn,2017-12-05T15:47:50.040Z,"155km S of L'Esperance Rock, New Zealand",earthquake,5.7,1.6,0.073,18,reviewed,us,us
2017-12-03T23:34:12.500Z,42.6743,13.3137,8.08,4.1,mwr,,39,0.155,0.5,us,us1000bkp1,2017-12-04T16:14:31.040Z,"5km NNE of Amatrice, Italy",earthquake,5.5,4.3,0.047,44,reviewed,us,us
2017-12-03T23:34:09.280Z,-14.1324,170.3887,42.61,4.8,mb,,121,7.258,0.58,us,us1000bkp9,2017-12-04T00:14:37.040Z,"Vanuatu region",earthquake,11.1,7.7,0.074,56,reviewed,us,us
2017-12-03T22:26:37.990Z,4.6172,127.6764,114.05,4.7,mb,,108,3.207,0.73,us,us1000bknk,2017-12-03T22:37:50.040Z,"254km SE of Pondaguitan, Philippines",earthquake,8,6.6,0.12,21,reviewed,us,us
2017-12-03T21:32:48.240Z,-12.1432,167.3041,197.61,4.8,mb,,90,8.847,0.68,us,us1000bkmx,2017-12-03T22:14:35.040Z,"194km N of Sola, Vanuatu",earthquake,11.4,6.8,0.04,195,reviewed,us,us
2017-12-03T20:30:41.950Z,11.7333,-87.4022,45.69,4.2,mb,,194,1.017,1.31,us,us1000bkm8,2017-12-03T20:48:54.040Z,"86km SSW of Corinto, Nicaragua",earthquake,8.5,15.3,0.118,20,reviewed,us,us
2017-12-03T18:16:26.040Z,59.334,-137.2971,5.07,3.5,ml,,105,1.014,0.68,us,us1000bkll,2017-12-03T19:29:02.986Z,"106km W of Haines, Alaska",earthquake,3,8.7,0.042,75,reviewed,us,us
2017-12-03T17:50:19.020Z,39.2819,74.2862,63.7,4.6,mb,,98,2.27,0.95,us,us1000bklf,2017-12-03T18:23:38.040Z,"70km ENE of Karakul, Tajikistan",earthquake,7.3,8,0.075,52,reviewed,us,us
2017-12-03T16:55:39.390Z,19.3785,-155.2323333,2.965,2.8,ml,42,83,,0.11,hv,hv61995286,2017-12-04T19:26:26.650Z,"6km S of Volcano, Hawaii",earthquake,0.23,0.18,0.262,27,reviewed,hv,hv
2017-12-03T16:50:28.000Z,9.8477,-40.6352,10,5.1,mb,,76,12.802,0.68,us,us1000bkks,2017-12-03T17:48:55.040Z,"Central Mid-Atlantic Ridge",earthquake,10.5,1.9,0.029,378,reviewed,us,us
2017-12-03T14:21:41.020Z,-32.2739,-71.968,10.72,4.3,mb,,132,0.797,0.6,us,us1000bkk1,2017-12-03T17:58:12.646Z,"72km WNW of La Ligua, Chile",earthquake,5,2.9,0.201,7,reviewed,us,us
2017-12-03T12:31:14.350Z,36.0118,-97.9127,2.97,2.6,mb_lg,,38,0.34,0.38,us,us1000bkjp,2017-12-05T04:47:17.179Z,"10km S of Hennessey, Oklahoma",earthquake,1.2,7.8,0.064,64,reviewed,us,us
2017-12-03T11:19:06.810Z,-0.4845,-80.2823,24.73,6,mww,,66,1.732,1.24,us,us1000bkjh,2017-12-05T02:54:44.983Z,"19km NE of Bahia de Caraquez, Ecuador",earthquake,6,4.5,0.073,18,reviewed,us,us
2017-12-03T10:45:34.340Z,19.0481,-67.5486,23,3.09,md,6,255,0.7269,0.2,pr,pr2017337002,2017-12-03T13:16:34.896Z,"77km NW of San Antonio, Puerto Rico",earthquake,1.5,15.47,0.03,4,reviewed,pr,pr
2017-12-03T10:23:24.320Z,57.1782,-136.3909,3.3,2.9,ml,,,,1.4,us,us1000bkje,2017-12-03T10:33:47.040Z,"65km WNW of Sitka, Alaska",earthquake,3.9,8,,,reviewed,ak,ak
2017-12-03T10:03:00.172Z,61.9876,-152.1873,135,2.6,ml,,,,0.34,ak,ak17442022,2017-12-03T10:17:26.745Z,"113km WSW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-12-03T09:47:14.160Z,22.3675,94.5111,95.31,4.7,mb,,89,0.886,0.87,us,us1000bkj3,2017-12-03T14:42:45.699Z,"69km WNW of Monywa, Burma",earthquake,6.9,6.9,0.079,48,reviewed,us,us
2017-12-03T09:31:23.680Z,19.1721667,-155.6556667,8.031,2.52,ml,32,82,,0.19,hv,hv61995046,2017-12-04T21:18:48.130Z,"16km NE of Hawaiian Ocean View, Hawaii",earthquake,0.42,1.32,0.173,15,reviewed,hv,hv
2017-12-03T08:44:29.200Z,9.3443,-84.7941,16.77,4.4,mwr,,94,0.342,0.88,us,us1000bkin,2017-12-06T01:11:38.409Z,"34km SSW of Jaco, Costa Rica",earthquake,3.6,4.5,0.048,41,reviewed,us,us
