,origin,country,lat,long,magnitude,shaking_death,deaths,year,month,decade,hour,Season,sleep,Class,year5,density,GDP
179,1969-07-25 22:49,China,21.612,111.809,5.9,3000.0,3000.0,1969,7,1960,5.0,summer,True,Moderate,1965,77.0,
180,1969-09-09 05:15,Japan,35.786,137.093,6.0,0.0,1.0,1969,9,1960,14.0,authumn,False,Strong,1965,270.0,
181,1969-10-01 05:05,Peru,-11.835,-75.195,6.2,136.0,150.0,1969,10,1960,23.0,spring,True,Strong,1965,9.1,
182,1970-01-04 17:00,China,24.147,102.462,7.2,,15621.0,1970,1,1970,23.0,winter,True,Major,1970,87.9,110.8822727
183,1970-01-20 17:33,Japan,42.523,143.024,6.4,1.0,1.0,1970,1,1970,2.0,winter,True,Strong,1970,287.8,2039.5257199999999
184,1970-03-28 21:02,Turkey,39.172,29.55,7.4,1086.0,1086.0,1970,3,1970,22.0,spring,True,Major,1970,45.3,702.9816913
185,1970-05-31 20:23,Peru,-9.248,-78.84,7.9,0.0,70000.0,1970,5,1970,14.0,authumn,False,Major,1970,10.4,436.9266731000001
186,1970-12-10 04:34,Peru,-4.079,-80.66199999999999,7.1,81.0,81.0,1970,12,1970,22.0,summer,True,Major,1970,10.4,436.9266731000001
187,1971-04-03 04:49,China,32.178000000000004,95.02799999999999,5.6,,1.0,1971,4,1970,10.0,spring,False,Moderate,1970,87.9,117.1791517
188,1971-04-28 15:32,China,22.953000000000003,100.993,6.3,,2.0,1971,4,1970,21.0,spring,True,Strong,1970,87.9,117.1791517
189,1971-05-12 06:25,Turkey,37.555,29.746,5.9,100.0,100.0,1971,5,1970,7.0,spring,False,Moderate,1970,45.3,647.5258737
190,1971-05-22 16:44,Turkey,38.868,40.542,6.7,1000.0,1000.0,1971,5,1970,18.0,spring,False,Strong,1970,45.3,647.5258737
191,1971-07-26 01:48,China,39.848,77.24600000000001,5.8,,1.0,1971,7,1970,6.0,summer,True,Moderate,1970,87.9,117.1791517
192,1971-08-16 04:58,China,28.879,103.67200000000001,5.5,,10.0,1971,8,1970,10.0,summer,False,Moderate,1970,87.9,117.1791517
193,1971-10-15 10:33,Peru,-14.183,-73.399,5.7,5.0,14.0,1971,10,1970,5.0,spring,True,Moderate,1970,10.4,474.49298110000007
194,1972-03-20 07:33,Peru,-6.81,-76.78,6.9,7.0,7.0,1972,3,1970,1.0,authumn,True,Strong,1970,10.4,512.2191159
195,1972-09-03 16:48,Pakistan,35.949,73.321,6.2,100.0,100.0,1972,9,1970,20.0,authumn,False,Strong,1970,75.4,134.52410690000002
196,1973-02-06 10:37,China,31.353,100.545,7.7,,2199.0,1973,2,1970,16.0,winter,False,Major,1970,87.9,154.3347
197,1973-08-16 03:58,China,23.003,101.07799999999999,6.4,,1.0,1973,8,1970,9.0,summer,False,Strong,1970,87.9,154.3347
198,1974-01-05 08:33,Peru,-12.350999999999999,-76.307,6.6,10.0,10.0,1974,1,1970,2.0,summer,True,Strong,1970,10.4,732.7114664
199,1974-02-01 00:01,Turkey,38.54,27.263,5.4,2.0,2.0,1974,2,1970,1.0,winter,True,Moderate,1970,45.3,1311.392995
200,1974-04-22 00:29,China,31.533,119.28,5.5,,8.0,1974,4,1970,7.0,spring,False,Moderate,1970,87.9,157.2333571
201,1974-05-08 23:33,Japan,34.57,138.77100000000002,6.7,27.0,30.0,1974,5,1970,8.0,spring,False,Strong,1970,287.8,4357.783968
202,1974-05-10 19:25,China,28.195,104.007,6.8,,1541.0,1974,5,1970,1.0,spring,True,Strong,1970,87.9,157.2333571
203,1974-08-03 18:16,Japan,36.016,139.901,5.6,2.0,2.0,1974,8,1970,3.0,summer,True,Moderate,1970,287.8,4357.783968
204,1974-10-02 02:54,Peru,-5.882000000000001,-81.01899999999999,5.7,,78.0,1974,10,1970,20.0,spring,False,Moderate,1970,10.4,732.7114664
205,1974-10-03 14:21,Peru,-12.254000000000001,-77.523,8.1,78.0,78.0,1974,10,1970,8.0,spring,False,Great,1970,10.4,732.7114664
206,1974-12-28 12:11,Pakistan,35.025999999999996,72.898,6.2,5300.0,5300.0,1974,12,1970,16.0,winter,False,Strong,1970,75.4,179.7424415
207,1975-02-04 11:36,China,40.667,122.646,7.0,,10000.0,1975,2,1970,19.0,winter,False,Major,1975,98.1,175.18124980000002
208,1975-09-06 09:20,Turkey,38.515,40.768,6.7,2311.0,2385.0,1975,9,1970,11.0,authumn,False,Strong,1975,51.0,1600.963779
209,1975-12-30 14:36,Turkey,38.595,40.525999999999996,4.6,3.0,3.0,1975,12,1970,16.0,winter,False,Light,1975,51.0,1600.963779
210,1976-03-25 11:55,Turkey,40.939,42.95399999999999,4.8,1.0,2.0,1976,3,1970,13.0,spring,False,Light,1975,51.0,1789.570839
211,1976-04-02 16:58,Turkey,39.801,43.68899999999999,4.6,4.0,4.0,1976,4,1970,18.0,spring,False,Light,1975,51.0,1789.570839
212,1976-04-05 16:54,China,40.23,112.22200000000001,5.5,,28.0,1976,4,1970,23.0,spring,True,Moderate,1975,98.1,165.8856199
213,1976-04-29 22:18,Turkey,40.935,42.875,5.5,4.0,4.0,1976,4,1970,0.0,spring,True,Moderate,1975,51.0,1789.570839
214,1976-05-15 21:55,Peru,-11.66,-74.419,6.7,5.0,5.0,1976,5,1970,16.0,authumn,False,Strong,1975,11.9,809.4282299
215,1976-05-29 12:23,China,24.500999999999998,98.93,6.7,,98.0,1976,5,1970,18.0,spring,False,Strong,1975,98.1,165.8856199
216,1976-05-29 14:00,China,24.581,98.61,6.6,,,1976,5,1970,20.0,spring,False,Strong,1975,98.1,165.8856199
217,1976-07-09 09:34,Turkey,38.327,40.463,4.2,1.0,1.0,1976,7,1970,11.0,summer,False,Light,1975,51.0,1789.570839
